DATA INICIAL;DATA FINAL;REGIÃO;ESTADO;PRODUTO;PREÇO MÉDIO REVENDA
27/05/2018;02/06/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,599
03/06/2018;09/06/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,595
10/06/2018;16/06/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,570
17/06/2018;23/06/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,509
24/06/2018;30/06/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,499
01/07/2018;07/07/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,442
08/07/2018;14/07/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,429
15/07/2018;21/07/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,415
22/07/2018;28/07/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,394
29/07/2018;04/08/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,359
05/08/2018;11/08/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,331
12/08/2018;18/08/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,312
19/08/2018;25/08/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,268
26/08/2018;01/09/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,224
02/09/2018;08/09/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,324
09/09/2018;15/09/2018;NORDESTE;PERNAMBUCO;GASOLINA COMUM;4,441
